open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year,day,day_of_week,quarter,dateClean
613.07,616.205,605.86,611.43,6370303.0,,,611.43,,,1.0,0.0,VOO,ARCX,2025-10-15T00:00:00+0000,10,2025,15,2,4,2025-10-15
604.2,612.14,600.51,608.75,7483600.0,612.14,600.51,608.75,604.2,7493479.0,1.0,0.0,VOO,ARCX,2025-10-14T00:00:00+0000,10,2025,14,1,4,2025-10-14
607.37,611.03,606.58,609.61,6955600.0,611.0272,606.575,609.61,607.37,6968434.0,1.0,0.0,VOO,ARCX,2025-10-13T00:00:00+0000,10,2025,13,0,4,2025-10-13
617.99,619.6,600.23,600.51,13600000.0,619.6,600.23,600.51,617.99,13664157.0,1.0,0.0,VOO,ARCX,2025-10-10T00:00:00+0000,10,2025,10,4,4,2025-10-10
619.23,619.59,615.28,617.1,5891900.0,619.59,615.28,617.1,619.23,5898496.0,1.0,0.0,VOO,ARCX,2025-10-09T00:00:00+0000,10,2025,9,3,4,2025-10-09
616.22,618.9,615.46,618.77,5022700.0,618.9,615.4642,618.77,616.215,5035243.0,1.0,0.0,VOO,ARCX,2025-10-08T00:00:00+0000,10,2025,8,2,4,2025-10-08
618.3,618.74,613.82,615.2,7454400.0,618.7393,613.82,615.2,618.3,7466277.0,1.0,0.0,VOO,ARCX,2025-10-07T00:00:00+0000,10,2025,7,1,4,2025-10-07
617.46,618.28,615.48,617.4,6037800.0,618.28,615.48,617.4,617.46,6056437.0,1.0,0.0,VOO,ARCX,2025-10-06T00:00:00+0000,10,2025,6,0,4,2025-10-06
615.95,618.42,614.29,615.3,7204500.0,618.42,614.288,615.3,615.95,7210689.0,1.0,0.0,VOO,ARCX,2025-10-03T00:00:00+0000,10,2025,3,4,4,2025-10-03
616.41,616.48,613.02,615.25,7130200.0,616.48,613.02,615.25,616.41,7139472.0,1.0,0.0,VOO,ARCX,2025-10-02T00:00:00+0000,10,2025,2,3,4,2025-10-02
609.7,615.39,609.57,614.57,10011400.0,615.39,609.57,614.57,609.7,10019981.0,1.0,0.0,VOO,ARCX,2025-10-01T00:00:00+0000,10,2025,1,2,4,2025-10-01
609.43,612.86,608.27,612.38,6503800.0,612.86,608.27,612.38,609.43,6515666.0,1.0,0.0,VOO,ARCX,2025-09-30T00:00:00+0000,9,2025,30,1,3,2025-09-30
610.79,611.68,608.48,610.13,5646400.0,611.68,608.48,610.13,610.79,5658835.0,1.0,0.0,VOO,ARCX,2025-09-29T00:00:00+0000,9,2025,29,0,3,2025-09-29
608.03,610.7,606.57,610.16,6435800.0,610.7,606.565,610.16,608.03,6438634.0,1.0,0.0,VOO,ARCX,2025-09-26T00:00:00+0000,9,2025,26,4,3,2025-09-26
606.62,607.93,603.35,606.59,6955800.0,607.93,603.35,606.59,606.62,6965655.0,1.0,0.0,VOO,ARCX,2025-09-25T00:00:00+0000,9,2025,25,3,3,2025-09-25
612.63,612.74,608.19,609.5,23780800.0,612.74,608.19,609.5,612.63,23787299.0,1.0,0.0,VOO,ARCX,2025-09-24T00:00:00+0000,9,2025,24,2,3,2025-09-24
614.71,615.26,610.34,611.54,10744200.0,615.26,610.341,611.54,614.705,10752999.0,1.0,0.0,VOO,ARCX,2025-09-23T00:00:00+0000,9,2025,23,1,3,2025-09-23
610.52,615.22,610.51,614.76,11570600.0,615.22,610.51,614.76,610.52,11583809.0,1.0,0.0,VOO,ARCX,2025-09-22T00:00:00+0000,9,2025,22,0,3,2025-09-22
610.62,612.67,608.85,611.78,6057300.0,612.67,608.85,611.78,610.62,6065655.0,1.0,0.0,VOO,ARCX,2025-09-19T00:00:00+0000,9,2025,19,4,3,2025-09-19
608.55,611.31,607.07,608.94,11042500.0,611.31,607.07,608.94,608.55,11057536.0,1.0,0.0,VOO,ARCX,2025-09-18T00:00:00+0000,9,2025,18,3,3,2025-09-18
606.84,608.33,601.55,606.09,11599500.0,608.33,601.55,606.09,606.84,11613628.0,1.0,0.0,VOO,ARCX,2025-09-17T00:00:00+0000,9,2025,17,2,3,2025-09-17
608.16,608.42,606.06,606.79,6382200.0,608.42,606.0609,606.79,608.16,6393185.0,1.0,0.0,VOO,ARCX,2025-09-16T00:00:00+0000,9,2025,16,1,3,2025-09-16
606.47,607.77,606.2,607.59,7705000.0,607.77,606.2,607.59,606.47,7710693.0,1.0,0.0,VOO,ARCX,2025-09-15T00:00:00+0000,9,2025,15,0,3,2025-09-15
604.59,605.98,603.95,604.44,8124900.0,605.98,603.95,604.44,604.59,8130498.0,1.0,0.0,VOO,ARCX,2025-09-12T00:00:00+0000,9,2025,12,4,3,2025-09-12
601.43,605.23,600.89,604.57,9101200.0,605.23,600.89,604.57,601.43,9109717.0,1.0,0.0,VOO,ARCX,2025-09-11T00:00:00+0000,9,2025,11,3,3,2025-09-11
600.92,601.75,598.16,599.68,21625400.0,601.75,598.16,599.68,600.92,21641066.0,1.0,0.0,VOO,ARCX,2025-09-10T00:00:00+0000,9,2025,10,2,3,2025-09-10
596.61,598.37,595.01,597.95,7831900.0,598.37,595.01,597.95,596.61,7844787.0,1.0,0.0,VOO,ARCX,2025-09-09T00:00:00+0000,9,2025,9,1,3,2025-09-09
596.31,597.41,595.03,596.5,9465000.0,597.41,595.03,596.5,596.31,9472235.0,1.0,0.0,VOO,ARCX,2025-09-08T00:00:00+0000,9,2025,8,0,3,2025-09-08
598.91,599.6,591.45,594.96,6631000.0,599.6,591.45,594.96,598.91,6641512.0,1.0,0.0,VOO,ARCX,2025-09-05T00:00:00+0000,9,2025,5,4,3,2025-09-05
592.47,596.77,591.6,596.59,8035900.0,596.77,591.6,596.59,592.47,8045575.0,1.0,0.0,VOO,ARCX,2025-09-04T00:00:00+0000,9,2025,4,3,3,2025-09-04
590.81,592.23,588.78,591.72,8198600.0,592.23,588.78,591.72,590.81,6663405.0,1.0,0.0,VOO,ARCX,2025-09-03T00:00:00+0000,9,2025,3,2,3,2025-09-03
586.06,588.8,583.67,588.71,11100100.0,588.8,583.67,588.71,586.06,11116704.0,1.0,0.0,VOO,ARCX,2025-09-02T00:00:00+0000,9,2025,2,1,3,2025-09-02
595.24,595.55,591.245,593.08,7512032.0,595.55,591.245,593.08,595.24,7512032.0,1.0,0.0,VOO,ARCX,2025-08-29T00:00:00+0000,8,2025,29,4,3,2025-08-29
595.07,597.065,593.27,596.52,5002053.0,597.07,593.27,596.52,595.07,5058689.0,1.0,0.0,VOO,ARCX,2025-08-28T00:00:00+0000,8,2025,28,3,3,2025-08-28
592.52,595.14,592.44,594.42,6161700.0,595.14,592.44,594.42,592.52,6171422.0,1.0,0.0,VOO,ARCX,2025-08-27T00:00:00+0000,8,2025,27,2,3,2025-08-27
590.38,593.43,589.79,593.06,4769000.0,593.43,589.795,593.06,590.38,4776577.0,1.0,0.0,VOO,ARCX,2025-08-26T00:00:00+0000,8,2025,26,1,3,2025-08-26
592.05,593.23,590.55,590.7,6476700.0,593.2299,590.55,590.7,592.05,6483035.0,1.0,0.0,VOO,ARCX,2025-08-25T00:00:00+0000,8,2025,25,0,3,2025-08-25
586.27,594.32,585.84,593.21,6379600.0,594.32,585.84,593.21,586.27,6389278.0,1.0,0.0,VOO,ARCX,2025-08-22T00:00:00+0000,8,2025,22,4,3,2025-08-22
584.93,586.46,582.65,584.27,4794500.0,586.46,582.65,584.27,584.93,4807277.0,1.0,0.0,VOO,ARCX,2025-08-21T00:00:00+0000,8,2025,21,3,3,2025-08-21
587.81,588.0,581.85,586.58,7065000.0,588.0,581.85,586.58,587.81,7113572.0,1.0,0.0,VOO,ARCX,2025-08-20T00:00:00+0000,8,2025,20,2,3,2025-08-20
591.25,592.12,586.94,588.13,6718500.0,592.12,586.94,588.13,591.25,6739284.0,1.0,0.0,VOO,ARCX,2025-08-19T00:00:00+0000,8,2025,19,1,3,2025-08-19
590.98,591.95,590.36,591.36,5287507.0,592.02,590.35,591.36,590.98,5311743.0,1.0,0.0,VOO,ARCX,2025-08-18T00:00:00+0000,8,2025,18,0,3,2025-08-18
593.86,593.95,590.66,591.57,7188100.0,593.95,590.66,591.57,593.86,7196315.0,1.0,0.0,VOO,ARCX,2025-08-15T00:00:00+0000,8,2025,15,4,3,2025-08-15
590.92,593.51,590.5,592.85,6227800.0,593.51,590.5,592.85,590.92,6236666.0,1.0,0.0,VOO,ARCX,2025-08-14T00:00:00+0000,8,2025,14,3,3,2025-08-14
592.86,594.03,590.81,592.84,5384000.0,594.03,590.81,592.84,592.86,5392973.0,1.0,0.0,VOO,ARCX,2025-08-13T00:00:00+0000,8,2025,13,2,3,2025-08-13
586.75,590.96,585.43,590.78,5851900.0,590.96,585.435,590.78,586.75,5874245.0,1.0,0.0,VOO,ARCX,2025-08-12T00:00:00+0000,8,2025,12,1,3,2025-08-12
586.03,587.36,583.44,584.54,5366300.0,587.36,583.44,584.54,586.03,5373949.0,1.0,0.0,VOO,ARCX,2025-08-11T00:00:00+0000,8,2025,11,0,3,2025-08-11
582.93,586.17,582.6,585.74,4331400.0,586.17,582.6,585.74,582.93,4342341.0,1.0,0.0,VOO,ARCX,2025-08-08T00:00:00+0000,8,2025,8,4,3,2025-08-08
584.87,585.52,578.31,581.29,4584600.0,585.52,578.3127,581.29,584.87,4594260.0,1.0,0.0,VOO,ARCX,2025-08-07T00:00:00+0000,8,2025,7,3,3,2025-08-07
578.25,582.27,577.41,581.64,4514300.0,582.27,577.41,581.64,578.25,4545015.0,1.0,0.0,VOO,ARCX,2025-08-06T00:00:00+0000,8,2025,6,2,3,2025-08-06
580.79,581.5,576.4,577.35,4629500.0,581.5,576.4,577.35,580.79,4647381.0,1.0,0.0,VOO,ARCX,2025-08-05T00:00:00+0000,8,2025,5,1,3,2025-08-05
575.17,580.21,575.08,580.14,6628200.0,580.21,575.08,580.14,575.17,6640089.0,1.0,0.0,VOO,ARCX,2025-08-04T00:00:00+0000,8,2025,4,0,3,2025-08-04
575.73,575.74,569.29,571.45,8771900.0,575.74,569.29,571.45,575.73,8781254.0,1.0,0.0,VOO,ARCX,2025-08-01T00:00:00+0000,8,2025,1,4,3,2025-08-01
587.83,588.16,579.84,581.02,7007900.0,588.161445,579.84,581.02,587.83,7046843.0,1.0,0.0,VOO,ARCX,2025-07-31T00:00:00+0000,7,2025,31,3,3,2025-07-31
584.66,586.15,580.55,583.21,6944200.0,586.15,580.55,583.21,584.66,6974729.0,1.0,0.0,VOO,ARCX,2025-07-30T00:00:00+0000,7,2025,30,2,3,2025-07-30
586.82,587.08,583.12,583.92,5044000.0,587.08,583.12,583.92,586.82,5053447.0,1.0,0.0,VOO,ARCX,2025-07-29T00:00:00+0000,7,2025,29,1,3,2025-07-29
586.04,586.5,584.24,585.44,4187000.0,586.5,584.24,585.44,586.04,4193101.0,1.0,0.0,VOO,ARCX,2025-07-28T00:00:00+0000,7,2025,28,0,3,2025-07-28
583.81,586.04,583.59,585.58,4204800.0,586.04,583.59,585.58,583.81,4210090.0,1.0,0.0,VOO,ARCX,2025-07-25T00:00:00+0000,7,2025,25,4,3,2025-07-25
583.34,584.6999,582.79,583.26,3799647.0,584.75,582.72,583.26,583.34,3840901.0,1.0,0.0,VOO,ARCX,2025-07-24T00:00:00+0000,7,2025,24,3,3,2025-07-24
580.57,582.9498,578.877,582.86,4197525.0,582.96,578.87,582.86,580.57,4257345.0,1.0,0.0,VOO,ARCX,2025-07-23T00:00:00+0000,7,2025,23,2,3,2025-07-23
578.28,578.84,575.64,577.95,4757100.0,578.84,575.64,577.95,578.28,4767703.0,1.0,0.0,VOO,ARCX,2025-07-22T00:00:00+0000,7,2025,22,1,3,2025-07-22
577.98,580.53,577.59,577.95,5553213.0,580.53,577.59,577.95,577.98,5913837.0,1.0,0.0,VOO,ARCX,2025-07-21T00:00:00+0000,7,2025,21,0,3,2025-07-21
578.47,578.5,575.84,576.92,4256200.0,578.5,575.84,576.92,578.47,4262378.0,1.0,0.0,VOO,ARCX,2025-07-18T00:00:00+0000,7,2025,18,4,3,2025-07-18
574.02,577.65,573.8,577.18,6460700.0,577.65,573.8,577.18,574.02,6495346.0,1.0,0.0,VOO,ARCX,2025-07-17T00:00:00+0000,7,2025,17,3,3,2025-07-17
573.4,574.2575,568.2,573.74,6125770.0,574.26,568.17,573.74,573.4,6141184.0,1.0,0.0,VOO,ARCX,2025-07-16T00:00:00+0000,7,2025,16,2,3,2025-07-16
576.85,577.16,571.85,571.86,5355161.0,577.16,571.85,571.86,576.85,5398956.0,1.0,0.0,VOO,ARCX,2025-07-15T00:00:00+0000,7,2025,15,1,3,2025-07-15
572.85,574.68,571.58,574.35,4737700.0,574.679,571.58,574.35,572.85,4747041.0,1.0,0.0,VOO,ARCX,2025-07-14T00:00:00+0000,7,2025,14,0,3,2025-07-14
572.45,574.38,571.37,573.22,4425200.0,574.3757,571.37,573.22,572.45,4428852.0,1.0,0.0,VOO,ARCX,2025-07-11T00:00:00+0000,7,2025,11,4,3,2025-07-11
573.78,576.26,572.7091,575.29,4930942.0,576.26,572.7,575.29,573.78,4961691.0,1.0,0.0,VOO,ARCX,2025-07-10T00:00:00+0000,7,2025,10,3,3,2025-07-10
572.46,574.2469,570.76,573.61,5978493.0,574.26,570.76,573.61,572.46,7156477.0,1.0,0.0,VOO,ARCX,2025-07-09T00:00:00+0000,7,2025,9,2,3,2025-07-09
571.15,571.83,569.48,570.23,6932200.0,571.83,569.48,570.23,571.15,6944624.0,1.0,0.0,VOO,ARCX,2025-07-08T00:00:00+0000,7,2025,8,1,3,2025-07-08
573.0,573.59,567.99,570.61,6193622.0,573.59,567.98,570.61,573.0,6417829.0,1.0,0.0,VOO,ARCX,2025-07-07T00:00:00+0000,7,2025,7,0,3,2025-07-07
572.18,575.67,572.13,575.22,4836962.0,575.67,572.13,575.22,572.18,4836962.0,1.0,0.0,VOO,ARCX,2025-07-03T00:00:00+0000,7,2025,3,3,3,2025-07-03
567.37,570.34,566.81,570.29,6164018.0,570.34,566.81,570.29,567.37,6164018.0,1.0,0.0,VOO,ARCX,2025-07-02T00:00:00+0000,7,2025,2,2,3,2025-07-02
566.56,568.8,565.8,567.77,7412742.0,568.8,565.8,567.77,566.56,7412742.0,1.0,0.0,VOO,ARCX,2025-07-01T00:00:00+0000,7,2025,1,1,3,2025-07-01
567.5,569.15,565.375,568.03,5750571.0,569.15,565.375,568.03,567.5,5750571.0,1.0,1.74,VOO,ARCX,2025-06-30T00:00:00+0000,6,2025,30,0,2,2025-06-30
565.11,568.33,563.21,566.95,6026200.0,568.33,563.21,566.95,565.11,6056524.0,1.0,0.0,VOO,ARCX,2025-06-27T00:00:00+0000,6,2025,27,4,2,2025-06-27
561.52,564.55,560.97,564.15,5848203.0,564.55,560.96,564.15,561.52,6081444.0,1.0,0.0,VOO,ARCX,2025-06-26T00:00:00+0000,6,2025,26,3,2,2025-06-26
560.52,561.02,558.34,559.72,16457700.0,561.02,558.34,559.72,560.52,16472305.0,1.0,0.0,VOO,ARCX,2025-06-25T00:00:00+0000,6,2025,25,2,2,2025-06-25
557.18,560.42,556.37,559.44,6742815.0,560.43,556.37,559.44,557.18,6770036.0,1.0,0.0,VOO,ARCX,2025-06-24T00:00:00+0000,6,2025,24,1,2,2025-06-24
548.66,553.7,545.75,553.36,9719000.0,553.7,545.75,553.36,548.66,9820188.0,1.0,0.0,VOO,ARCX,2025-06-23T00:00:00+0000,6,2025,23,0,2,2025-06-23
551.72,552.72,546.62,547.72,9978477.0,552.72,546.62,547.72,551.72,9978477.0,1.0,0.0,VOO,ARCX,2025-06-20T00:00:00+0000,6,2025,20,4,2,2025-06-20
550.16,552.71,548.39,549.24,4585400.0,552.71,548.39,549.24,550.16,4602329.0,1.0,0.0,VOO,ARCX,2025-06-18T00:00:00+0000,6,2025,18,2,2,2025-06-18
551.79,553.16,548.64,549.35,4731700.0,553.16,548.635,549.35,551.79,4753344.0,1.0,0.0,VOO,ARCX,2025-06-17T00:00:00+0000,6,2025,17,1,2,2025-06-17
551.94,555.66,551.9,554.07,5714431.0,555.69,551.87,554.07,551.94,7421327.0,1.0,0.0,VOO,ARCX,2025-06-16T00:00:00+0000,6,2025,16,0,2,2025-06-16
550.24,553.25,547.41,548.77,7091900.0,553.245,547.41,548.77,550.24,7100626.0,1.0,0.0,VOO,ARCX,2025-06-13T00:00:00+0000,6,2025,13,4,2,2025-06-13
551.6,555.0,551.132,554.95,8382626.0,555.0,551.1322,554.95,551.6,8422943.0,1.0,0.0,VOO,ARCX,2025-06-12T00:00:00+0000,6,2025,12,3,2,2025-06-12
555.41,556.225,550.912,552.86,20777515.0,556.225,550.91,552.86,555.41,20800557.0,1.0,0.0,VOO,ARCX,2025-06-11T00:00:00+0000,6,2025,11,2,2,2025-06-11
551.78,554.74,550.75,554.39,5243960.0,554.74,550.74,554.39,551.78,5984087.0,1.0,0.0,VOO,ARCX,2025-06-10T00:00:00+0000,6,2025,10,1,2,2025-06-10
551.3,552.7,550.2,551.25,4504831.0,552.7,550.2,551.25,551.3,4516381.0,1.0,0.0,VOO,ARCX,2025-06-09T00:00:00+0000,6,2025,9,0,2,2025-06-09
550.3,552.32,548.7,550.66,4728500.0,552.32,548.6999,550.66,550.3,4735972.0,1.0,0.0,VOO,ARCX,2025-06-06T00:00:00+0000,6,2025,6,4,2,2025-06-06
549.48,550.62,543.3375,545.09,6149945.0,550.63,543.3375,545.09,549.48,6387510.0,1.0,0.0,VOO,ARCX,2025-06-05T00:00:00+0000,6,2025,5,3,2,2025-06-05
548.75,549.6477,547.4426,547.65,4399173.0,549.65,547.4426,547.65,548.75,4543355.0,1.0,0.0,VOO,ARCX,2025-06-04T00:00:00+0000,6,2025,4,2,2,2025-06-04
544.53,548.865,544.09,548.0,4979779.0,548.87,544.09,548.0,544.53,4993615.0,1.0,0.0,VOO,ARCX,2025-06-03T00:00:00+0000,6,2025,3,1,2,2025-06-03
540.25,544.91,537.851,544.91,5756307.0,544.91,537.8,544.91,540.25,5933526.0,1.0,0.0,VOO,ARCX,2025-06-02T00:00:00+0000,6,2025,2,0,2,2025-06-02
541.35,543.39,536.16,541.76,6166200.0,543.39,536.16,541.76,541.35,6171491.0,1.0,0.0,VOO,ARCX,2025-05-30T00:00:00+0000,5,2025,30,4,2,2025-05-30
545.15,545.28,538.74,542.32,4659500.0,545.28,538.74,542.32,545.15,4668939.0,1.0,0.0,VOO,ARCX,2025-05-29T00:00:00+0000,5,2025,29,3,2,2025-05-29
543.79,544.88,539.62,540.24,4841551.0,544.9,539.61,540.24,543.79,4910507.0,1.0,0.0,VOO,ARCX,2025-05-28T00:00:00+0000,5,2025,28,2,2,2025-05-28
538.72,543.52,537.19,543.34,6097598.0,543.52,537.18,543.34,538.72,6118091.0,1.0,0.0,VOO,ARCX,2025-05-27T00:00:00+0000,5,2025,27,1,2,2025-05-27
529.43,534.8099,529.11,532.4,6455875.0,534.8099,529.11,532.4,529.43,6455875.0,1.0,0.0,VOO,ARCX,2025-05-23T00:00:00+0000,5,2025,23,4,2,2025-05-23
535.6,539.23,534.44,536.02,5804400.0,539.225,534.44,536.02,535.6,5816572.0,1.0,0.0,VOO,ARCX,2025-05-22T00:00:00+0000,5,2025,22,3,2,2025-05-22
540.91,544.69,534.82,535.77,6314200.0,544.6905,534.82,535.77,540.91,6339491.0,1.0,0.0,VOO,ARCX,2025-05-21T00:00:00+0000,5,2025,21,2,2,2025-05-21
545.22,546.06,541.99,544.88,7147600.0,546.06,541.99,544.88,545.22,7158205.0,1.0,0.0,VOO,ARCX,2025-05-20T00:00:00+0000,5,2025,20,1,2,2025-05-20
540.63,547.45,540.585,546.82,6341383.0,547.45,540.58,546.82,540.63,7766058.0,1.0,0.0,VOO,ARCX,2025-05-19T00:00:00+0000,5,2025,19,0,2,2025-05-19
543.47,546.47,541.7,546.26,7201100.0,546.47,541.7,546.26,543.47,7255342.0,1.0,0.0,VOO,ARCX,2025-05-16T00:00:00+0000,5,2025,16,4,2,2025-05-16
538.26,543.25,537.84,542.76,7354600.0,543.2489,537.84,542.76,538.26,7362193.0,1.0,0.0,VOO,ARCX,2025-05-15T00:00:00+0000,5,2025,15,3,2,2025-05-15
540.37,541.42,538.24,540.11,5011400.0,541.42,538.24,540.11,540.37,5031301.0,1.0,0.0,VOO,ARCX,2025-05-14T00:00:00+0000,5,2025,14,2,2,2025-05-14
536.33,541.48,535.78,539.44,7346800.0,541.48,535.78,539.44,536.33,7356804.0,1.0,0.0,VOO,ARCX,2025-05-13T00:00:00+0000,5,2025,13,1,2,2025-05-13
534.5,535.92,530.39,535.92,7718886.0,535.92,530.39,535.92,534.5,7793576.0,1.0,0.0,VOO,ARCX,2025-05-12T00:00:00+0000,5,2025,12,0,2,2025-05-12
520.69,521.63,517.36,518.65,4725100.0,521.6306,517.36,518.65,520.69,4739506.0,1.0,0.0,VOO,ARCX,2025-05-09T00:00:00+0000,5,2025,9,4,2,2025-05-09
519.54,524.2074,516.345,519.34,5065890.0,524.23,516.345,519.34,519.54,5088200.0,1.0,0.0,VOO,ARCX,2025-05-08T00:00:00+0000,5,2025,8,3,2,2025-05-08
514.92,518.08,511.1,515.9,5448379.0,518.18,511.1,515.9,514.92,5467344.0,1.0,0.0,VOO,ARCX,2025-05-07T00:00:00+0000,5,2025,7,2,2,2025-05-07
512.89,517.825,511.94,513.58,4588373.0,517.825,511.94,513.58,512.89,4694270.0,1.0,0.0,VOO,ARCX,2025-05-06T00:00:00+0000,5,2025,6,1,2,2025-05-06
517.08,520.84,516.4478,517.99,4745581.0,520.85,516.27,517.99,517.08,4793497.0,1.0,0.0,VOO,ARCX,2025-05-05T00:00:00+0000,5,2025,5,0,2,2025-05-05
519.12,522.41,516.89,520.71,6275700.0,522.41,516.89,520.71,519.12,6285390.0,1.0,0.0,VOO,ARCX,2025-05-02T00:00:00+0000,5,2025,2,4,2,2025-05-02
515.13,518.44,512.77,513.35,5428611.0,518.44,512.77,513.35,515.13,5784483.0,1.0,0.0,VOO,ARCX,2025-05-01T00:00:00+0000,5,2025,1,3,2,2025-05-01
503.26,511.5,497.76,509.74,7834700.0,511.5,497.76,509.74,503.26,7873686.0,1.0,0.0,VOO,ARCX,2025-04-30T00:00:00+0000,4,2025,30,2,2,2025-04-30
504.54,510.5497,504.26,509.49,4686575.0,510.5497,504.26,509.49,504.54,6525457.0,1.0,0.0,VOO,ARCX,2025-04-29T00:00:00+0000,4,2025,29,1,2,2025-04-29
506.81,508.6918,501.0,506.42,4179047.0,508.74,500.96,506.42,506.81,4210016.0,1.0,0.0,VOO,ARCX,2025-04-28T00:00:00+0000,4,2025,28,0,2,2025-04-28
502.44,506.52,499.75,506.11,6926500.0,506.52,499.75,506.11,502.44,6933423.0,1.0,0.0,VOO,ARCX,2025-04-25T00:00:00+0000,4,2025,25,4,2,2025-04-25
493.26,503.0,492.22,502.41,6146100.0,503.0,492.2231,502.41,493.26,6184333.0,1.0,0.0,VOO,ARCX,2025-04-24T00:00:00+0000,4,2025,24,3,2,2025-04-24
496.69,501.18,490.7,492.07,7890620.0,501.18,490.7,492.07,496.69,8047601.0,1.0,0.0,VOO,ARCX,2025-04-23T00:00:00+0000,4,2025,23,2,2,2025-04-23
478.07,486.4482,477.205,484.29,5918713.0,486.48,477.19,484.29,478.07,6236319.0,1.0,0.0,VOO,ARCX,2025-04-22T00:00:00+0000,4,2025,22,1,2,2025-04-22
479.02,479.49,467.33,472.37,7715190.0,479.49,467.33,472.37,479.02,7762501.0,1.0,0.0,VOO,ARCX,2025-04-21T00:00:00+0000,4,2025,21,0,2,2025-04-21
484.79,488.16,481.5,483.9,5638939.0,488.16,481.5,483.9,484.79,5638939.0,1.0,0.0,VOO,ARCX,2025-04-17T00:00:00+0000,4,2025,17,3,2,2025-04-17
